Plan,Plan_Type,Company_Coverage,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
100589MEDVBP1,1,EE,63,66,66,66,66,63,63,61,61,62,64,64
100589MEDVBP1,1,ES,16,16,16,16,16,16,16,16,15,15,15,15
100589MEDVBP1,1,EF,9,9,9,8,8,9,8,8,10,10,10,10
100589MEDVBP1,1,ED,12,12,12,11,10,10,10,10,10,10,10,10
100589MEDVBP2,3,EE,10,10,10,9,9,9,9,9,9,9,9,9
100589MEDVBP2,3,ES,5,5,5,5,5,5,5,5,5,5,5,5
100589MEDVBP2,3,EF,4,4,4,4,4,4,4,4,4,4,5,5
100589MEDVBP3,1,EE,14,14,14,13,14,15,15,15,14,14,14,14
100589MEDVBP3,1,ES,4,4,4,4,4,4,4,4,5,5,5,5
100589MEDVBP3,1,EF,3,3,3,3,3,3,3,3,3,3,3,3
100589MEDVBP3,1,ED,1,1,1,1,1,1,1,1,1,1,1,1
