Plan,Plan_Type,Company_Coverage,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
100582VBPMONEY2,1,EE,96,96,92,90,84,81,82,83,86,85,87,88
100582VBPMONEY2,1,ES,13,13,12,12,13,12,11,12,12,11,10,10
100582VBPMONEY2,1,EF,5,5,5,3,3,3,3,3,3,2,2,2
100582VBPMONEY2,1,ED,6,6,6,5,5,5,5,5,5,5,5,5
100582VBPTRAD1,1,EE,63,61,59,57,60,61,59,59,60,60,61,60
100582VBPTRAD1,1,EF,90,86,86,84,80,78,77,77,76,75,77,76
100582VBPTRAD2,1,EE,290,286,277,272,272,268,266,266,261,262,266,264
100582VBPTRAD2,1,ES,14,14,14,15,16,16,17,18,17,16,15,17
100582VBPTRAD2,1,EF,202,202,198,192,189,186,181,177,173,170,168,169
100582VBPTRAD2,1,ED,2,2,2,1,1,2,2,2,2,2,2,2
