Plan,Plan_Type,Company_Coverage,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12
100576MEDCIG,1,EE,17,17,17,19,19,22,19,20,20,20,19,20
100576MEDCIG,1,ES,2,2,2,2,2,1,1,1,1,2,2,2
100576MEDCIG,1,EF,4,5,5,5,4,4,4,4,3,3,3,3
100576MEDCIG,1,ED,3,3,3,2,3,3,3,4,4,4,4,4
100576VBPBUYHLTSMT,1,EE,180,176,173,179,175,173,173,171,164,156,150,147
100576VBPBUYHLTSMT,1,ES,23,23,23,23,22,19,16,16,16,16,16,16
100576VBPBUYHLTSMT,1,EF,18,19,19,20,19,16,17,17,16,15,15,15
100576VBPBUYHLTSMT,1,ED,15,16,16,15,14,16,15,15,14,15,15,15
100576VBPBUYPHCS,1,EE,153,149,149,150,148,142,143,141,129,131,129,140
100576VBPBUYPHCS,1,ES,27,29,31,30,28,27,26,25,24,24,23,25
100576VBPBUYPHCS,1,EF,18,17,18,18,20,17,20,19,22,21,20,20
100576VBPBUYPHCS,1,ED,33,34,31,33,35,29,32,34,35,35,33,32
100576VBPHDPHLTHSMT,3,EE,46,45,41,41,41,38,37,36,37,41,44,46
100576VBPHDPHLTHSMT,3,ES,7,7,6,6,6,5,5,5,5,5,5,5
100576VBPHDPHLTHSMT,3,EF,5,5,5,7,7,8,8,8,9,9,9,8
100576VBPHDPHLTHSMT,3,ED,7,7,7,7,8,8,9,10,8,8,8,8
100576VBPHDPPHCS,3,EE,50,51,50,49,48,45,41,40,37,37,37,43
100576VBPHDPPHCS,3,ES,5,5,5,4,4,4,4,5,5,7,6,6
100576VBPHDPPHCS,3,EF,7,7,6,7,8,6,5,6,6,6,6,6
100576VBPHDPPHCS,3,ED,20,21,21,17,17,14,16,15,15,15,14,17
