Plan,Plan_Type,Company_Coverage,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11
100579MEDANG1,1,EE,79,81,79,80,76,74,76,77,80,82,79,76
100579MEDANG1,1,ES,4,4,4,5,5,6,6,6,6,6,6,6
100579MEDANG1,1,EF,8,8,8,8,7,7,8,8,8,9,9,9
100579MEDANG1,1,ED,10,9,9,12,13,12,12,12,12,12,13,10
100579MEDANG2,1,EE,74,72,72,73,74,73,77,76,80,84,84,86
100579MEDANG2,1,ES,12,12,11,10,11,11,9,10,10,10,11,11
100579MEDANG2,1,EF,7,7,8,7,7,7,9,10,8,8,8,7
100579MEDANG2,1,ED,8,9,10,10,10,11,9,9,8,8,8,9
100579MEDHDP3,3,EE,41,39,41,40,40,40,42,40,43,42,41,42
100579MEDHDP3,3,ES,3,3,4,5,5,5,5,4,2,2,2,2
100579MEDHDP3,3,EF,6,6,6,5,5,5,5,5,6,6,6,6
100579MEDHDP3,3,ED,8,7,7,6,6,7,8,6,5,5,5,5
100579VBPHDPHLTSMT,3,EE,18,18,19,20,22,22,22,20,23,25,23,22
100579VBPHDPHLTSMT,3,ES,1,,,,,,,,,,,
100579VBPHDPHLTSMT,3,EF,2,2,2,2,2,2,2,2,2,2,2,2
100579VBPHDPHLTSMT,3,ED,2,2,2,2,2,2,2,2,2,2,1,1
100579VBPHDPPHCS,3,EE,98,100,103,107,105,105,104,103,103,108,105,104
100579VBPHDPPHCS,3,ES,6,5,5,5,5,5,3,3,3,3,3,2
100579VBPHDPPHCS,3,EF,9,8,7,8,9,9,9,10,10,9,11,11
100579VBPHDPPHCS,3,ED,6,6,6,6,7,7,6,6,6,6,5,5
100579VBPHLTSMT1,1,EE,13,12,12,12,12,11,12,13,12,10,11,11
100579VBPHLTSMT1,1,ES,0,0,0,1,1,1,1,1,1,,,
100579VBPHLTSMT1,1,EF,2,2,2,1,1,1,1,1,1,1,,
100579VBPHLTSMT1,1,ED,,1,1,1,1,1,1,1,1,1,1,1
100579VBPHLTSMT2,1,EE,10,10,10,10,10,10,11,10,10,10,10,10
100579VBPHLTSMT2,1,ES,2,2,2,2,1,1,1,1,1,1,1,1
100579VBPHLTSMT2,1,EF,1,1,1,1,1,,,,,,,
100579VBPHLTSMT2,1,ED,3,3,3,3,3,3,3,3,3,3,3,3
100579VBPPHCS1,1,EE,54,55,52,59,59,61,62,64,64,66,67,67
100579VBPPHCS1,1,ES,1,1,2,2,2,3,2,1,1,2,3,3
100579VBPPHCS1,1,EF,9,8,8,8,7,6,7,7,9,8,8,7
100579VBPPHCS1,1,ED,6,6,6,6,6,6,7,7,7,8,8,9
100579VBPPHCS2,1,EE,63,63,61,65,64,62,63,66,67,70,72,72
100579VBPPHCS2,1,ES,6,5,4,4,5,5,5,5,5,5,5,5
100579VBPPHCS2,1,EF,6,5,5,4,4,4,4,4,5,5,5,5
100579VBPPHCS2,1,ED,12,12,12,14,15,14,15,17,16,13,12,12
